Component,Asp. Rack,Asp. Posi,Dsp. Rack,Dsp. Posi,Volume
B,source,18,Destination_2,D7,6
C,source,19,Destination_2,D7,7
D,source,20,Destination_2,D7,8
E,source,21,Destination_2,D7,9
F,source,22,Destination_2,D7,10
1-pTDH3,source,1,Destination_2,E7,8
2-pSAC6,source,10,Destination_2,E7,8
3-pRET2,source,14,Destination_2,E7,8
etc,source,16,Destination_2,E7,9
A,source,17,Destination_2,E7,5
B,source,18,Destination_2,E7,6
C,source,19,Destination_2,E7,7
D,source,20,Destination_2,E7,8
E,source,21,Destination_2,E7,9
F,source,22,Destination_2,E7,10
1-pTDH3,source,1,Destination_2,F7,8
2-pSAC6,source,10,Destination_2,F7,8
3-pRNR1,source,15,Destination_2,F7,8
etc,source,16,Destination_2,F7,9
A,source,17,Destination_2,F7,5
B,source,18,Destination_2,F7,6
C,source,19,Destination_2,F7,7
D,source,20,Destination_2,F7,8
E,source,21,Destination_2,F7,9
F,source,22,Destination_2,F7,10
1-pTEF2,source,2,Destination_2,G7,8
2-pPGK1,source,6,Destination_2,G7,8
3-pCCW12,source,11,Destination_2,G7,8
etc,source,16,Destination_2,G7,9
A,source,17,Destination_2,G7,5
B,source,18,Destination_2,G7,6
C,source,19,Destination_2,G7,7
D,source,20,Destination_2,G7,8
E,source,21,Destination_2,G7,9
F,source,22,Destination_2,G7,10
1-pTEF2,source,2,Destination_2,H7,8
2-pPGK1,source,6,Destination_2,H7,8
3-pHHF2,source,12,Destination_2,H7,8
etc,source,16,Destination_2,H7,9
A,source,17,Destination_2,H7,5
B,source,18,Destination_2,H7,6
C,source,19,Destination_2,H7,7
D,source,20,Destination_2,H7,8
E,source,21,Destination_2,H7,9
F,source,22,Destination_2,H7,10
1-pTEF2,source,2,Destination_2,A8,8
2-pPGK1,source,6,Destination_2,A8,8
3-pRPL18B,source,13,Destination_2,A8,8
etc,source,16,Destination_2,A8,9
A,source,17,Destination_2,A8,5
B,source,18,Destination_2,A8,6
C,source,19,Destination_2,A8,7
D,source,20,Destination_2,A8,8
E,source,21,Destination_2,A8,9
F,source,22,Destination_2,A8,10
1-pTEF2,source,2,Destination_2,B8,8
2-pPGK1,source,6,Destination_2,B8,8
3-pRET2,source,14,Destination_2,B8,8
etc,source,16,Destination_2,B8,9
A,source,17,Destination_2,B8,5
B,source,18,Destination_2,B8,6
C,source,19,Destination_2,B8,7
D,source,20,Destination_2,B8,8
E,source,21,Destination_2,B8,9
F,source,22,Destination_2,B8,10
1-pTEF2,source,2,Destination_2,C8,8
2-pPGK1,source,6,Destination_2,C8,8
3-pRNR1,source,15,Destination_2,C8,8
etc,source,16,Destination_2,C8,9
A,source,17,Destination_2,C8,5
B,source,18,Destination_2,C8,6
C,source,19,Destination_2,C8,7
D,source,20,Destination_2,C8,8
E,source,21,Destination_2,C8,9
F,source,22,Destination_2,C8,10
1-pTEF2,source,2,Destination_2,D8,8
2-pTEF1,source,7,Destination_2,D8,8
3-pCCW12,source,11,Destination_2,D8,8
etc,source,16,Destination_2,D8,9
A,source,17,Destination_2,D8,5
B,source,18,Destination_2,D8,6
C,source,19,Destination_2,D8,7
D,source,20,Destination_2,D8,8
E,source,21,Destination_2,D8,9
F,source,22,Destination_2,D8,10
1-pTEF2,source,2,Destination_2,E8,8
2-pTEF1,source,7,Destination_2,E8,8
3-pHHF2,source,12,Destination_2,E8,8
etc,source,16,Destination_2,E8,9
A,source,17,Destination_2,E8,5
B,source,18,Destination_2,E8,6
C,source,19,Destination_2,E8,7
D,source,20,Destination_2,E8,8
E,source,21,Destination_2,E8,9
F,source,22,Destination_2,E8,10
1-pTEF2,source,2,Destination_2,F8,8
2-pTEF1,source,7,Destination_2,F8,8
3-pRPL18B,source,13,Destination_2,F8,8
etc,source,16,Destination_2,F8,9
A,source,17,Destination_2,F8,5
B,source,18,Destination_2,F8,6
C,source,19,Destination_2,F8,7
D,source,20,Destination_2,F8,8
E,source,21,Destination_2,F8,9
F,source,22,Destination_2,F8,10
1-pTEF2,source,2,Destination_2,G8,8
2-pTEF1,source,7,Destination_2,G8,8
3-pRET2,source,14,Destination_2,G8,8
etc,source,16,Destination_2,G8,9
A,source,17,Destination_2,G8,5
B,source,18,Destination_2,G8,6
C,source,19,Destination_2,G8,7
D,source,20,Destination_2,G8,8
E,source,21,Destination_2,G8,9
F,source,22,Destination_2,G8,10
1-pTEF2,source,2,Destination_2,H8,8
2-pTEF1,source,7,Destination_2,H8,8
3-pRNR1,source,15,Destination_2,H8,8
etc,source,16,Destination_2,H8,9
A,source,17,Destination_2,H8,5
B,source,18,Destination_2,H8,6
C,source,19,Destination_2,H8,7
D,source,20,Destination_2,H8,8
E,source,21,Destination_2,H8,9
F,source,22,Destination_2,H8,10
1-pTEF2,source,2,Destination_2,A9,8
2-pHHF1,source,8,Destination_2,A9,8
3-pCCW12,source,11,Destination_2,A9,8
etc,source,16,Destination_2,A9,9
A,source,17,Destination_2,A9,5
B,source,18,Destination_2,A9,6
C,source,19,Destination_2,A9,7
D,source,20,Destination_2,A9,8
E,source,21,Destination_2,A9,9
F,source,22,Destination_2,A9,10
1-pTEF2,source,2,Destination_2,B9,8
2-pHHF1,source,8,Destination_2,B9,8
3-pHHF2,source,12,Destination_2,B9,8
etc,source,16,Destination_2,B9,9
A,source,17,Destination_2,B9,5
B,source,18,Destination_2,B9,6
C,source,19,Destination_2,B9,7
D,source,20,Destination_2,B9,8
E,source,21,Destination_2,B9,9
F,source,22,Destination_2,B9,10
1-pTEF2,source,2,Destination_2,C9,8
2-pHHF1,source,8,Destination_2,C9,8
3-pRPL18B,source,13,Destination_2,C9,8
etc,source,16,Destination_2,C9,9
A,source,17,Destination_2,C9,5
B,source,18,Destination_2,C9,6
C,source,19,Destination_2,C9,7
D,source,20,Destination_2,C9,8
E,source,21,Destination_2,C9,9
F,source,22,Destination_2,C9,10
1-pTEF2,source,2,Destination_2,D9,8
2-pHHF1,source,8,Destination_2,D9,8
3-pRET2,source,14,Destination_2,D9,8
etc,source,16,Destination_2,D9,9
A,source,17,Destination_2,D9,5
B,source,18,Destination_2,D9,6
C,source,19,Destination_2,D9,7
D,source,20,Destination_2,D9,8
E,source,21,Destination_2,D9,9
F,source,22,Destination_2,D9,10
1-pTEF2,source,2,Destination_2,E9,8
2-pHHF1,source,8,Destination_2,E9,8
3-pRNR1,source,15,Destination_2,E9,8
etc,source,16,Destination_2,E9,9
A,source,17,Destination_2,E9,5
B,source,18,Destination_2,E9,6
C,source,19,Destination_2,E9,7
D,source,20,Destination_2,E9,8
E,source,21,Destination_2,E9,9
F,source,22,Destination_2,E9,10
1-pTEF2,source,2,Destination_2,F9,8
2-pPAB1,source,9,Destination_2,F9,8
3-pCCW12,source,11,Destination_2,F9,8
etc,source,16,Destination_2,F9,9
A,source,17,Destination_2,F9,5
B,source,18,Destination_2,F9,6
C,source,19,Destination_2,F9,7
D,source,20,Destination_2,F9,8
E,source,21,Destination_2,F9,9
F,source,22,Destination_2,F9,10
1-pTEF2,source,2,Destination_2,G9,8
2-pPAB1,source,9,Destination_2,G9,8
3-pHHF2,source,12,Destination_2,G9,8
etc,source,16,Destination_2,G9,9
A,source,17,Destination_2,G9,5
B,source,18,Destination_2,G9,6
C,source,19,Destination_2,G9,7
D,source,20,Destination_2,G9,8
E,source,21,Destination_2,G9,9
F,source,22,Destination_2,G9,10
1-pTEF2,source,2,Destination_2,H9,8
2-pPAB1,source,9,Destination_2,H9,8
3-pRPL18B,source,13,Destination_2,H9,8
etc,source,16,Destination_2,H9,9
A,source,17,Destination_2,H9,5
B,source,18,Destination_2,H9,6
C,source,19,Destination_2,H9,7
D,source,20,Destination_2,H9,8
E,source,21,Destination_2,H9,9
F,source,22,Destination_2,H9,10
1-pTEF2,source,2,Destination_2,A10,8
2-pPAB1,source,9,Destination_2,A10,8
3-pRET2,source,14,Destination_2,A10,8
etc,source,16,Destination_2,A10,9
A,source,17,Destination_2,A10,5
B,source,18,Destination_2,A10,6
C,source,19,Destination_2,A10,7
D,source,20,Destination_2,A10,8
E,source,21,Destination_2,A10,9
F,source,22,Destination_2,A10,10
1-pTEF2,source,2,Destination_2,B10,8
2-pPAB1,source,9,Destination_2,B10,8
3-pRNR1,source,15,Destination_2,B10,8
etc,source,16,Destination_2,B10,9
A,source,17,Destination_2,B10,5
B,source,18,Destination_2,B10,6
C,source,19,Destination_2,B10,7
D,source,20,Destination_2,B10,8
E,source,21,Destination_2,B10,9
F,source,22,Destination_2,B10,10
1-pTEF2,source,2,Destination_2,C10,8
2-pSAC6,source,10,Destination_2,C10,8
3-pCCW12,source,11,Destination_2,C10,8
etc,source,16,Destination_2,C10,9
A,source,17,Destination_2,C10,5
B,source,18,Destination_2,C10,6
C,source,19,Destination_2,C10,7
D,source,20,Destination_2,C10,8
E,source,21,Destination_2,C10,9
F,source,22,Destination_2,C10,10
1-pTEF2,source,2,Destination_2,D10,8
2-pSAC6,source,10,Destination_2,D10,8
3-pHHF2,source,12,Destination_2,D10,8
etc,source,16,Destination_2,D10,9
A,source,17,Destination_2,D10,5
B,source,18,Destination_2,D10,6
C,source,19,Destination_2,D10,7
D,source,20,Destination_2,D10,8
E,source,21,Destination_2,D10,9
F,source,22,Destination_2,D10,10
1-pTEF2,source,2,Destination_2,E10,8
2-pSAC6,source,10,Destination_2,E10,8
3-pRPL18B,source,13,Destination_2,E10,8
etc,source,16,Destination_2,E10,9
A,source,17,Destination_2,E10,5
B,source,18,Destination_2,E10,6
C,source,19,Destination_2,E10,7
D,source,20,Destination_2,E10,8
E,source,21,Destination_2,E10,9
F,source,22,Destination_2,E10,10
1-pTEF2,source,2,Destination_2,F10,8
2-pSAC6,source,10,Destination_2,F10,8
3-pRET2,source,14,Destination_2,F10,8
etc,source,16,Destination_2,F10,9
A,source,17,Destination_2,F10,5
B,source,18,Destination_2,F10,6
C,source,19,Destination_2,F10,7
D,source,20,Destination_2,F10,8
E,source,21,Destination_2,F10,9
F,source,22,Destination_2,F10,10
1-pTEF2,source,2,Destination_2,G10,8
2-pSAC6,source,10,Destination_2,G10,8
3-pRNR1,source,15,Destination_2,G10,8
etc,source,16,Destination_2,G10,9
A,source,17,Destination_2,G10,5
B,source,18,Destination_2,G10,6
C,source,19,Destination_2,G10,7
D,source,20,Destination_2,G10,8
E,source,21,Destination_2,G10,9
F,source,22,Destination_2,G10,10
1-pHTB2,source,3,Destination_2,H10,8
2-pPGK1,source,6,Destination_2,H10,8
3-pCCW12,source,11,Destination_2,H10,8
etc,source,16,Destination_2,H10,9
A,source,17,Destination_2,H10,5
B,source,18,Destination_2,H10,6
C,source,19,Destination_2,H10,7
D,source,20,Destination_2,H10,8
E,source,21,Destination_2,H10,9
F,source,22,Destination_2,H10,10
1-pHTB2,source,3,Destination_2,A11,8
2-pPGK1,source,6,Destination_2,A11,8
3-pHHF2,source,12,Destination_2,A11,8
etc,source,16,Destination_2,A11,9
A,source,17,Destination_2,A11,5
B,source,18,Destination_2,A11,6
C,source,19,Destination_2,A11,7
D,source,20,Destination_2,A11,8
E,source,21,Destination_2,A11,9
F,source,22,Destination_2,A11,10
1-pHTB2,source,3,Destination_2,B11,8
2-pPGK1,source,6,Destination_2,B11,8
3-pRPL18B,source,13,Destination_2,B11,8
etc,source,16,Destination_2,B11,9
A,source,17,Destination_2,B11,5
B,source,18,Destination_2,B11,6
C,source,19,Destination_2,B11,7
D,source,20,Destination_2,B11,8
E,source,21,Destination_2,B11,9
F,source,22,Destination_2,B11,10
1-pHTB2,source,3,Destination_2,C11,8
2-pPGK1,source,6,Destination_2,C11,8
3-pRET2,source,14,Destination_2,C11,8
etc,source,16,Destination_2,C11,9
A,source,17,Destination_2,C11,5
B,source,18,Destination_2,C11,6
C,source,19,Destination_2,C11,7
D,source,20,Destination_2,C11,8
E,source,21,Destination_2,C11,9
F,source,22,Destination_2,C11,10
1-pHTB2,source,3,Destination_2,D11,8
2-pPGK1,source,6,Destination_2,D11,8
3-pRNR1,source,15,Destination_2,D11,8
etc,source,16,Destination_2,D11,9
A,source,17,Destination_2,D11,5
B,source,18,Destination_2,D11,6
C,source,19,Destination_2,D11,7
D,source,20,Destination_2,D11,8
E,source,21,Destination_2,D11,9
F,source,22,Destination_2,D11,10
1-pHTB2,source,3,Destination_2,E11,8
2-pTEF1,source,7,Destination_2,E11,8
3-pCCW12,source,11,Destination_2,E11,8
etc,source,16,Destination_2,E11,9
A,source,17,Destination_2,E11,5
B,source,18,Destination_2,E11,6
C,source,19,Destination_2,E11,7
D,source,20,Destination_2,E11,8
E,source,21,Destination_2,E11,9
F,source,22,Destination_2,E11,10
1-pHTB2,source,3,Destination_2,F11,8
2-pTEF1,source,7,Destination_2,F11,8
3-pHHF2,source,12,Destination_2,F11,8
etc,source,16,Destination_2,F11,9
A,source,17,Destination_2,F11,5
B,source,18,Destination_2,F11,6
C,source,19,Destination_2,F11,7
D,source,20,Destination_2,F11,8
E,source,21,Destination_2,F11,9
F,source,22,Destination_2,F11,10
1-pHTB2,source,3,Destination_2,G11,8
2-pTEF1,source,7,Destination_2,G11,8
3-pRPL18B,source,13,Destination_2,G11,8
etc,source,16,Destination_2,G11,9
A,source,17,Destination_2,G11,5
B,source,18,Destination_2,G11,6
C,source,19,Destination_2,G11,7
D,source,20,Destination_2,G11,8
E,source,21,Destination_2,G11,9
F,source,22,Destination_2,G11,10
1-pHTB2,source,3,Destination_2,H11,8
2-pTEF1,source,7,Destination_2,H11,8
3-pRET2,source,14,Destination_2,H11,8
etc,source,16,Destination_2,H11,9
A,source,17,Destination_2,H11,5
B,source,18,Destination_2,H11,6
C,source,19,Destination_2,H11,7
D,source,20,Destination_2,H11,8
E,source,21,Destination_2,H11,9
F,source,22,Destination_2,H11,10
1-pHTB2,source,3,Destination_2,A12,8
2-pTEF1,source,7,Destination_2,A12,8
3-pRNR1,source,15,Destination_2,A12,8
etc,source,16,Destination_2,A12,9
A,source,17,Destination_2,A12,5
B,source,18,Destination_2,A12,6
C,source,19,Destination_2,A12,7
D,source,20,Destination_2,A12,8
E,source,21,Destination_2,A12,9
F,source,22,Destination_2,A12,10
1-pHTB2,source,3,Destination_2,B12,8
2-pHHF1,source,8,Destination_2,B12,8
3-pCCW12,source,11,Destination_2,B12,8
etc,source,16,Destination_2,B12,9
A,source,17,Destination_2,B12,5
B,source,18,Destination_2,B12,6
C,source,19,Destination_2,B12,7
D,source,20,Destination_2,B12,8
E,source,21,Destination_2,B12,9
F,source,22,Destination_2,B12,10
1-pHTB2,source,3,Destination_2,C12,8
2-pHHF1,source,8,Destination_2,C12,8
3-pHHF2,source,12,Destination_2,C12,8
etc,source,16,Destination_2,C12,9
A,source,17,Destination_2,C12,5
B,source,18,Destination_2,C12,6
C,source,19,Destination_2,C12,7
D,source,20,Destination_2,C12,8
E,source,21,Destination_2,C12,9
F,source,22,Destination_2,C12,10
1-pHTB2,source,3,Destination_2,D12,8
2-pHHF1,source,8,Destination_2,D12,8
3-pRPL18B,source,13,Destination_2,D12,8
etc,source,16,Destination_2,D12,9
A,source,17,Destination_2,D12,5
B,source,18,Destination_2,D12,6
C,source,19,Destination_2,D12,7
D,source,20,Destination_2,D12,8
E,source,21,Destination_2,D12,9
F,source,22,Destination_2,D12,10
1-pHTB2,source,3,Destination_2,E12,8
2-pHHF1,source,8,Destination_2,E12,8
3-pRET2,source,14,Destination_2,E12,8
etc,source,16,Destination_2,E12,9
A,source,17,Destination_2,E12,5
B,source,18,Destination_2,E12,6
C,source,19,Destination_2,E12,7
D,source,20,Destination_2,E12,8
E,source,21,Destination_2,E12,9
F,source,22,Destination_2,E12,10
1-pHTB2,source,3,Destination_2,F12,8
2-pHHF1,source,8,Destination_2,F12,8
3-pRNR1,source,15,Destination_2,F12,8
etc,source,16,Destination_2,F12,9
A,source,17,Destination_2,F12,5
B,source,18,Destination_2,F12,6
C,source,19,Destination_2,F12,7
D,source,20,Destination_2,F12,8
E,source,21,Destination_2,F12,9
F,source,22,Destination_2,F12,10
1-pHTB2,source,3,Destination_2,G12,8
2-pPAB1,source,9,Destination_2,G12,8
3-pCCW12,source,11,Destination_2,G12,8
etc,source,16,Destination_2,G12,9
A,source,17,Destination_2,G12,5
B,source,18,Destination_2,G12,6
C,source,19,Destination_2,G12,7
D,source,20,Destination_2,G12,8
E,source,21,Destination_2,G12,9
F,source,22,Destination_2,G12,10
1-pHTB2,source,3,Destination_2,H12,8
2-pPAB1,source,9,Destination_2,H12,8
3-pHHF2,source,12,Destination_2,H12,8
etc,source,16,Destination_2,H12,9
A,source,17,Destination_2,H12,5
B,source,18,Destination_2,H12,6
C,source,19,Destination_2,H12,7
D,source,20,Destination_2,H12,8
E,source,21,Destination_2,H12,9
F,source,22,Destination_2,H12,10
1-pHTB2,source,3,Destination_3,A1,8
2-pPAB1,source,9,Destination_3,A1,8
3-pRPL18B,source,13,Destination_3,A1,8
etc,source,16,Destination_3,A1,9
A,source,17,Destination_3,A1,5
B,source,18,Destination_3,A1,6
C,source,19,Destination_3,A1,7
D,source,20,Destination_3,A1,8
E,source,21,Destination_3,A1,9
F,source,22,Destination_3,A1,10
1-pHTB2,source,3,Destination_3,B1,8
2-pPAB1,source,9,Destination_3,B1,8
3-pRET2,source,14,Destination_3,B1,8
etc,source,16,Destination_3,B1,9
A,source,17,Destination_3,B1,5
B,source,18,Destination_3,B1,6
C,source,19,Destination_3,B1,7
D,source,20,Destination_3,B1,8
E,source,21,Destination_3,B1,9
F,source,22,Destination_3,B1,10
1-pHTB2,source,3,Destination_3,C1,8
2-pPAB1,source,9,Destination_3,C1,8
3-pRNR1,source,15,Destination_3,C1,8
etc,source,16,Destination_3,C1,9
A,source,17,Destination_3,C1,5
B,source,18,Destination_3,C1,6
C,source,19,Destination_3,C1,7
D,source,20,Destination_3,C1,8
E,source,21,Destination_3,C1,9
F,source,22,Destination_3,C1,10
1-pHTB2,source,3,Destination_3,D1,8
2-pSAC6,source,10,Destination_3,D1,8
3-pCCW12,source,11,Destination_3,D1,8
etc,source,16,Destination_3,D1,9
A,source,17,Destination_3,D1,5
B,source,18,Destination_3,D1,6
C,source,19,Destination_3,D1,7
D,source,20,Destination_3,D1,8
E,source,21,Destination_3,D1,9
F,source,22,Destination_3,D1,10
1-pHTB2,source,3,Destination_3,E1,8
2-pSAC6,source,10,Destination_3,E1,8
3-pHHF2,source,12,Destination_3,E1,8
etc,source,16,Destination_3,E1,9
A,source,17,Destination_3,E1,5
B,source,18,Destination_3,E1,6
C,source,19,Destination_3,E1,7
D,source,20,Destination_3,E1,8
E,source,21,Destination_3,E1,9
F,source,22,Destination_3,E1,10
1-pHTB2,source,3,Destination_3,F1,8
2-pSAC6,source,10,Destination_3,F1,8
3-pRPL18B,source,13,Destination_3,F1,8
etc,source,16,Destination_3,F1,9
A,source,17,Destination_3,F1,5
B,source,18,Destination_3,F1,6
C,source,19,Destination_3,F1,7
D,source,20,Destination_3,F1,8
E,source,21,Destination_3,F1,9
F,source,22,Destination_3,F1,10
1-pHTB2,source,3,Destination_3,G1,8
2-pSAC6,source,10,Destination_3,G1,8
3-pRET2,source,14,Destination_3,G1,8
etc,source,16,Destination_3,G1,9
A,source,17,Destination_3,G1,5
B,source,18,Destination_3,G1,6
C,source,19,Destination_3,G1,7
D,source,20,Destination_3,G1,8
E,source,21,Destination_3,G1,9
F,source,22,Destination_3,G1,10
1-pHTB2,source,3,Destination_3,H1,8
2-pSAC6,source,10,Destination_3,H1,8
3-pRNR1,source,15,Destination_3,H1,8
etc,source,16,Destination_3,H1,9
A,source,17,Destination_3,H1,5
B,source,18,Destination_3,H1,6
C,source,19,Destination_3,H1,7
D,source,20,Destination_3,H1,8
E,source,21,Destination_3,H1,9
F,source,22,Destination_3,H1,10
1-pALD6,source,4,Destination_3,A2,8
2-pPGK1,source,6,Destination_3,A2,8
3-pCCW12,source,11,Destination_3,A2,8
etc,source,16,Destination_3,A2,9
A,source,17,Destination_3,A2,5
B,source,18,Destination_3,A2,6
C,source,19,Destination_3,A2,7
D,source,20,Destination_3,A2,8
E,source,21,Destination_3,A2,9
F,source,22,Destination_3,A2,10
1-pALD6,source,4,Destination_3,B2,8
2-pPGK1,source,6,Destination_3,B2,8
3-pHHF2,source,12,Destination_3,B2,8
etc,source,16,Destination_3,B2,9
A,source,17,Destination_3,B2,5
B,source,18,Destination_3,B2,6
C,source,19,Destination_3,B2,7
D,source,20,Destination_3,B2,8
E,source,21,Destination_3,B2,9
F,source,22,Destination_3,B2,10
1-pALD6,source,4,Destination_3,C2,8
2-pPGK1,source,6,Destination_3,C2,8
3-pRPL18B,source,13,Destination_3,C2,8
etc,source,16,Destination_3,C2,9
A,source,17,Destination_3,C2,5
B,source,18,Destination_3,C2,6
C,source,19,Destination_3,C2,7
D,source,20,Destination_3,C2,8
E,source,21,Destination_3,C2,9
F,source,22,Destination_3,C2,10
1-pALD6,source,4,Destination_3,D2,8
2-pPGK1,source,6,Destination_3,D2,8
3-pRET2,source,14,Destination_3,D2,8
etc,source,16,Destination_3,D2,9
A,source,17,Destination_3,D2,5
B,source,18,Destination_3,D2,6
C,source,19,Destination_3,D2,7
D,source,20,Destination_3,D2,8
E,source,21,Destination_3,D2,9
F,source,22,Destination_3,D2,10
1-pALD6,source,4,Destination_3,E2,8
2-pPGK1,source,6,Destination_3,E2,8
3-pRNR1,source,15,Destination_3,E2,8
etc,source,16,Destination_3,E2,9
A,source,17,Destination_3,E2,5
B,source,18,Destination_3,E2,6
C,source,19,Destination_3,E2,7
D,source,20,Destination_3,E2,8
E,source,21,Destination_3,E2,9
F,source,22,Destination_3,E2,10
1-pALD6,source,4,Destination_3,F2,8
2-pTEF1,source,7,Destination_3,F2,8
3-pCCW12,source,11,Destination_3,F2,8
etc,source,16,Destination_3,F2,9
A,source,17,Destination_3,F2,5
B,source,18,Destination_3,F2,6
C,source,19,Destination_3,F2,7
D,source,20,Destination_3,F2,8
E,source,21,Destination_3,F2,9
F,source,22,Destination_3,F2,10
1-pALD6,source,4,Destination_3,G2,8
2-pTEF1,source,7,Destination_3,G2,8
3-pHHF2,source,12,Destination_3,G2,8
etc,source,16,Destination_3,G2,9
A,source,17,Destination_3,G2,5
B,source,18,Destination_3,G2,6
C,source,19,Destination_3,G2,7
D,source,20,Destination_3,G2,8
E,source,21,Destination_3,G2,9
F,source,22,Destination_3,G2,10
1-pALD6,source,4,Destination_3,H2,8
2-pTEF1,source,7,Destination_3,H2,8
3-pRPL18B,source,13,Destination_3,H2,8
etc,source,16,Destination_3,H2,9
A,source,17,Destination_3,H2,5
B,source,18,Destination_3,H2,6
C,source,19,Destination_3,H2,7
D,source,20,Destination_3,H2,8
E,source,21,Destination_3,H2,9
F,source,22,Destination_3,H2,10
1-pALD6,source,4,Destination_3,A3,8
2-pTEF1,source,7,Destination_3,A3,8
3-pRET2,source,14,Destination_3,A3,8
etc,source,16,Destination_3,A3,9
A,source,17,Destination_3,A3,5
B,source,18,Destination_3,A3,6
C,source,19,Destination_3,A3,7
D,source,20,Destination_3,A3,8
E,source,21,Destination_3,A3,9
F,source,22,Destination_3,A3,10
1-pALD6,source,4,Destination_3,B3,8
2-pTEF1,source,7,Destination_3,B3,8
3-pRNR1,source,15,Destination_3,B3,8
etc,source,16,Destination_3,B3,9
A,source,17,Destination_3,B3,5
B,source,18,Destination_3,B3,6
C,source,19,Destination_3,B3,7
D,source,20,Destination_3,B3,8
E,source,21,Destination_3,B3,9
F,source,22,Destination_3,B3,10
1-pALD6,source,4,Destination_3,C3,8
2-pHHF1,source,8,Destination_3,C3,8
3-pCCW12,source,11,Destination_3,C3,8
etc,source,16,Destination_3,C3,9
A,source,17,Destination_3,C3,5
B,source,18,Destination_3,C3,6
C,source,19,Destination_3,C3,7
D,source,20,Destination_3,C3,8
E,source,21,Destination_3,C3,9
F,source,22,Destination_3,C3,10
1-pALD6,source,4,Destination_3,D3,8
2-pHHF1,source,8,Destination_3,D3,8
3-pHHF2,source,12,Destination_3,D3,8
etc,source,16,Destination_3,D3,9
A,source,17,Destination_3,D3,5
B,source,18,Destination_3,D3,6
C,source,19,Destination_3,D3,7
D,source,20,Destination_3,D3,8
E,source,21,Destination_3,D3,9
F,source,22,Destination_3,D3,10
1-pALD6,source,4,Destination_3,E3,8
2-pHHF1,source,8,Destination_3,E3,8
3-pRPL18B,source,13,Destination_3,E3,8
etc,source,16,Destination_3,E3,9
A,source,17,Destination_3,E3,5
B,source,18,Destination_3,E3,6
C,source,19,Destination_3,E3,7
D,source,20,Destination_3,E3,8
E,source,21,Destination_3,E3,9
F,source,22,Destination_3,E3,10
1-pALD6,source,4,Destination_3,F3,8
2-pHHF1,source,8,Destination_3,F3,8
3-pRET2,source,14,Destination_3,F3,8
etc,source,16,Destination_3,F3,9
A,source,17,Destination_3,F3,5
B,source,18,Destination_3,F3,6
C,source,19,Destination_3,F3,7
D,source,20,Destination_3,F3,8
E,source,21,Destination_3,F3,9
F,source,22,Destination_3,F3,10
1-pALD6,source,4,Destination_3,G3,8
2-pHHF1,source,8,Destination_3,G3,8
3-pRNR1,source,15,Destination_3,G3,8
etc,source,16,Destination_3,G3,9
A,source,17,Destination_3,G3,5
B,source,18,Destination_3,G3,6
C,source,19,Destination_3,G3,7
D,source,20,Destination_3,G3,8
E,source,21,Destination_3,G3,9
F,source,22,Destination_3,G3,10
1-pALD6,source,4,Destination_3,H3,8
2-pPAB1,source,9,Destination_3,H3,8
3-pCCW12,source,11,Destination_3,H3,8
etc,source,16,Destination_3,H3,9
A,source,17,Destination_3,H3,5
B,source,18,Destination_3,H3,6
C,source,19,Destination_3,H3,7
D,source,20,Destination_3,H3,8
E,source,21,Destination_3,H3,9
F,source,22,Destination_3,H3,10
1-pALD6,source,4,Destination_3,A4,8
2-pPAB1,source,9,Destination_3,A4,8
3-pHHF2,source,12,Destination_3,A4,8
etc,source,16,Destination_3,A4,9
A,source,17,Destination_3,A4,5
B,source,18,Destination_3,A4,6
C,source,19,Destination_3,A4,7
D,source,20,Destination_3,A4,8
E,source,21,Destination_3,A4,9
F,source,22,Destination_3,A4,10
1-pALD6,source,4,Destination_3,B4,8
2-pPAB1,source,9,Destination_3,B4,8
3-pRPL18B,source,13,Destination_3,B4,8
etc,source,16,Destination_3,B4,9
A,source,17,Destination_3,B4,5
B,source,18,Destination_3,B4,6
C,source,19,Destination_3,B4,7
D,source,20,Destination_3,B4,8
E,source,21,Destination_3,B4,9
F,source,22,Destination_3,B4,10
1-pALD6,source,4,Destination_3,C4,8
2-pPAB1,source,9,Destination_3,C4,8
3-pRET2,source,14,Destination_3,C4,8
etc,source,16,Destination_3,C4,9
A,source,17,Destination_3,C4,5
B,source,18,Destination_3,C4,6
C,source,19,Destination_3,C4,7
D,source,20,Destination_3,C4,8
E,source,21,Destination_3,C4,9
F,source,22,Destination_3,C4,10
1-pALD6,source,4,Destination_3,D4,8
2-pPAB1,source,9,Destination_3,D4,8
3-pRNR1,source,15,Destination_3,D4,8
etc,source,16,Destination_3,D4,9
A,source,17,Destination_3,D4,5
B,source,18,Destination_3,D4,6
C,source,19,Destination_3,D4,7
D,source,20,Destination_3,D4,8
E,source,21,Destination_3,D4,9
F,source,22,Destination_3,D4,10
1-pALD6,source,4,Destination_3,E4,8
2-pSAC6,source,10,Destination_3,E4,8
3-pCCW12,source,11,Destination_3,E4,8
etc,source,16,Destination_3,E4,9
A,source,17,Destination_3,E4,5
B,source,18,Destination_3,E4,6
C,source,19,Destination_3,E4,7
D,source,20,Destination_3,E4,8
E,source,21,Destination_3,E4,9
F,source,22,Destination_3,E4,10
1-pALD6,source,4,Destination_3,F4,8
2-pSAC6,source,10,Destination_3,F4,8
3-pHHF2,source,12,Destination_3,F4,8
etc,source,16,Destination_3,F4,9
